Model,Type,Feature,MSE,MSE_CI_lo,MSE_CI_hi,R2,R2_CI_lo,R2_CI_hi,Spearman,Spearman_CI_lo,Spearman_CI_hi,N_test
RF PhysChem (baseline),RF,PhysChem,1.1933,1.0777,1.3172,0.7497,0.7243,0.7730,0.8592,0.8441,0.8721,1323
RF PhysChem (tuned),RF,PhysChem,1.2078,1.0937,1.3277,0.7466,0.7215,0.7697,0.8573,0.8426,0.8703,1323
RF ESM2-650M,RF,ESM2-650M,1.1894,1.0764,1.3096,0.7502,0.7251,0.7733,0.8531,0.8371,0.8667,1326
RF ESM2-3B,RF,ESM2-3B,1.2448,1.1262,1.3663,0.7386,0.7126,0.7631,0.8485,0.8331,0.8624,1326
RF Ginkgo-AA0,RF,Ginkgo-AA0,1.1581,1.0428,1.2814,0.7568,0.7309,0.7805,0.8568,0.8412,0.8705,1326
NN PhysChem,NN,PhysChem,1.4135,1.2535,1.5817,0.7035,0.6662,0.7377,0.8283,0.8088,0.8456,1323
NN ESM2-650M,NN,ESM2-650M,1.1089,0.9879,1.2397,0.7671,0.7381,0.7937,0.8553,0.8403,0.8689,1326
NN ESM2-3B,NN,ESM2-3B,1.1748,1.0514,1.3023,0.7533,0.7247,0.7801,0.8502,0.8348,0.8635,1326
NN Ginkgo-AA0,NN,Ginkgo-AA0,1.1914,1.0765,1.3170,0.7498,0.7233,0.7741,0.8480,0.8332,0.8609,1326
Vec ESM2-650M CE,Vector,ESM2-650M,1.0505,0.9371,1.1746,0.7796,0.7527,0.8041,0.8608,0.8446,0.8747,1273
Vec ESM2-650M focal,Vector,ESM2-650M,1.0453,0.9336,1.1671,0.7807,0.7546,0.8043,0.8602,0.8441,0.8741,1273
Vec ESM2-3B CE,Vector,ESM2-3B,1.1220,1.0073,1.2470,0.7646,0.7375,0.7890,0.8568,0.8410,0.8704,1273
Vec ESM2-3B focal,Vector,ESM2-3B,1.0915,0.9811,1.2112,0.7710,0.7449,0.7944,0.8590,0.8436,0.8721,1273
Vec Ginkgo-AA0 CE,Vector,Ginkgo-AA0,0.9949,0.8871,1.1118,0.7913,0.7663,0.8136,0.8672,0.8519,0.8804,1273
Vec Ginkgo-AA0 focal,Vector,Ginkgo-AA0,0.9965,0.8868,1.1147,0.7909,0.7654,0.8138,0.8663,0.8505,0.8796,1273
